headword;pronunciation;POS;accent;schAccent;schGraph;nbSyll;page
['age'];['aidsh'];['/n/'];['age'];['0'];['VCV'];['1'];['afternoon-agnail']
['agency'];['aije(nsy('];['/n/'];['a@gency'];['100'];['V1CVCCV'];['3'];['afternoon-agnail']
['agent'];['aiji(nt'];['/n/'];['a@gent'];['10'];['V1CVCC'];['2'];['afternoon-agnail']
['agglomerate'];['a(gglo(mi(rait'];['/v/'];['agglo@merate'];['0100'];['VCCCV1CVCVCV'];['4'];['afternoon-agnail']
['agglutinants'];['a(ggleuti(nna(nts'];['/n/'];['agglu@tinants'];['0100'];['VCCCV1CVCVCCC'];['4'];['afternoon-agnail']
['agglutinate'];['a(ggleuti(nait'];['/v/'];['agglu@tinate'];['0100'];['VCCCV1CVCVCV'];['4'];['afternoon-agnail']
['agglutination'];['a(ggleuti(naishu(n'];['/n/'];['agglutina@tion'];['00010'];['VCCCVCVCV1CVVC'];['5'];['afternoon-agnail']
['agglutinative'];['a(ggleuti(ni(ti(v'];['/adj/'];['agglu@tinative'];['01000'];['VCCCV1CVCVCVCV'];['5'];['afternoon-agnail']
['aggrandize'];['a(ggra(ndi)z'];['/v/'];['a@ggrandize'];['100'];['V1CCCVCCVCV'];['3'];['afternoon-agnail']
['aggrandizement'];['a(ggrandi)zmi(nt'];['/n/'];['a@ggrandizement'];['1000'];['V1CCCVCCVCVCVCC'];['4'];['afternoon-agnail']
['aggravate'];['a(ggra(vait'];['/v/'];['a@ggravate'];['100'];['V1CCCVCVCV'];['3'];['afternoon-agnail']
['aggravation'];['a(ggra(vaishu(n'];['/n/'];['aggrava@tion'];['0010'];['VCCCVCV1CVVC'];['4'];['afternoon-agnail']
['aggregate'];['a(ggre(gait'];['/adj/n/v/'];['a@ggregate'];['100'];['V1CCCVCVCV'];['3'];['afternoon-agnail']
['aggregation'];['a(ggre(gaishu(n'];['/n/'];['aggrega@tion'];['0010'];['VCCCVCV1CVVC'];['4'];['afternoon-agnail']
['aggress'];['a(ggre(ss'];['/n/'];['aggre@ss'];['01'];['VCCCV1CC'];['2'];['afternoon-agnail']
['aggressor'];['a(ggre(ssu(r'];['/n/'];['aggre@ssor'];['010'];['VCCCV1CCVC'];['3'];['afternoon-agnail']
['aggrievance'];['a(ggreevi(nss'];['/n/'];['aggrie@vance'];['010'];['VCCCVV1CVCCV'];['3'];['afternoon-agnail']
['aggrieve'];['a(ggreev'];['/v/'];['aggrie@ve'];['01'];['VCCCVV1CV'];['2'];['afternoon-agnail']
['aggroup'];['a(ggrou*p'];['/v/'];['aggrou@p'];['01'];['VCCCVV1C'];['2'];['afternoon-agnail']
['agile'];['a)ji(l'];['/adj/'];['a@gile'];['10'];['V1CVCV'];['2'];['afternoon-agnail']
['agility'];['a(jee(li(ty('];['/n/'];['agi@lity'];['0100'];['VCV1CVCV'];['4'];['afternoon-agnail']
['agio'];['aiji(o('];['/n/'];['a@gio'];['100'];['V1CVV'];['3'];['afternoon-agnail']
['agist'];['a(ji(st'];['/v/'];['agi@st'];['01'];['VCV1CC'];['2'];['afternoon-agnail']
['agistment'];['a(ji(stmi(nt'];['/n/'];['agi@stment'];['010'];['VCV1CCCVCC'];['3'];['afternoon-agnail']
['agitable'];['a(ji(ti(bl'];['/adj/'];['a@gitable'];['100'];['V1CVCVCCV'];['3'];['afternoon-agnail']
['agitate'];['aji(tait'];['/v/'];['a@gitate'];['100'];['V1CVCVCV'];['3'];['afternoon-agnail']
['agitation'];['a(ji(taishu(n'];['/n/'];['agita@tion'];['0010'];['VCVCV1CVVC'];['4'];['afternoon-agnail']
['aglet'];['aigli(t'];['/n/'];['a@glet'];['10'];['V1CCVC'];['2'];['afternoon-agnail']
['agminal'];['a(gmi(ni(l'];['/adj/'];['a@gminal'];['100'];['V1CCVCVC'];['3'];['afternoon-agnail']
['agnail'];['a(gnail'];['/n/'];['a@gnail'];['10'];['V1CCVVC'];['2'];['afternoon-agnail']
['agnation'];['a(gnaishu(n'];['/n/'];['agna@tion'];['010'];['VCCV1CVVC'];['3'];['agnation-alchymy']
['agog'];['a(ggo(g'];['/adv/'];['ago@g'];['01'];['VCV1C'];['2'];['agnation-alchymy']
['agony'];['a(ggo(ny('];['/n/'];['a@gony'];['100'];['V1CVCV'];['3'];['agnation-alchymy']
['agree'];['a(gree'];['/v/'];['agree@'];['01'];['VCCVV1'];['2'];['agnation-alchymy']
['agreeable'];['a(greei(bl'];['/adj/'];['agree@able'];['010'];['VCCVV1VCCV'];['3'];['agnation-alchymy']
['agreeableness'];['a(greei(blni(ss'];['/n/'];['agreeableness'];['0000'];['VCCVVVCCVCVCC'];['4'];['agnation-alchymy']
['agreeably'];['a(greei(bly('];['/adv/'];['agree@ably'];['0100'];['VCCVV1VCCV'];['4'];['agnation-alchymy']
['agreed'];['a(greed'];['/a/'];['agree@d'];['01'];['VCCVV1C'];['2'];['agnation-alchymy']
['agreement'];['a(greemi(nt'];['/n/'];['agree@ment'];['010'];['VCCVV1CVCC'];['3'];['agnation-alchymy']
['agriculture'];['a(gri(ku(ltu(r'];['/n/'];['a@griculture'];['1000'];['V1CCVCVCCVCV'];['4'];['agnation-alchymy']
['agrimony'];['a(gri(mu(nny('];['/n/'];['a@grimony'];['1000'];['V1CCVCVCV'];['4'];['agnation-alchymy']
['aground'];['a(grou*nd'];['/a/'];['agrou@nd'];['01'];['VCCVV1CC'];['2'];['agnation-alchymy']
['ague'];['aigew'];['/n/'];['a@gue'];['10'];['V1CVV'];['2'];['agnation-alchymy']
['aguish'];['aigeui(sh'];['/adj/'];['a@guish'];['100'];['V1CVVCC'];['3'];['agnation-alchymy']
['aguishness'];['aigeui(shni(ss'];['/n/'];['a@guishness'];['1000'];['V1CVVCCCVCC'];['4'];['agnation-alchymy']
['ah'];['a%'];['/interj/'];['ah'];['0'];['VC'];['1'];['agnation-alchymy']
['aha'];['a(ha%'];['/interj/'];['aha@'];['01'];['VCV1'];['2'];['agnation-alchymy']
['ahead'];['a(he(d'];['/adv/'];['ahe@ad'];['01'];['VCV1VC'];['2'];['agnation-alchymy']
['aid'];['aid'];['/n/v/'];['aid'];['0'];['VVC'];['1'];['agnation-alchymy']
['aider'];['aidi(r'];['/n/'];['ai@der'];['10'];['VV1CVC'];['2'];['agnation-alchymy']
['aidless'];['aidli(ss'];['/adj/'];['ai@dless'];['10'];['VV1CCVCC'];['2'];['agnation-alchymy']
['aigulet'];['a(igeuli(t'];['/n/'];['ai@gulet'];['100'];['VV1CVCVC'];['3'];['agnation-alchymy']
['ail'];['ail'];['/v/n/'];['ail'];['0'];['VVC'];['1'];['agnation-alchymy']
['ailment'];['ailmi(nt'];['/n/'];['ai@lment'];['10'];['VV1CCVCC'];['2'];['agnation-alchymy']
['aim'];['aim'];['/n/v/'];['aim'];['0'];['VVC'];['1'];['agnation-alchymy']
['air'];['air'];['/n/v/'];['ai@r'];['1'];['VV1C'];['1'];['agnation-alchymy']
['airer'];['airi(r'];['/n/'];['ai@rer'];['10'];['VV1CVC'];['2'];['agnation-alchymy']
['airiness'];['airi(ni(ss'];['/n/'];['ai@riness'];['100'];['VV1CVCVCC'];['3'];['agnation-alchymy']
['airy'];['airy('];['/adj/n/'];['ai@ry'];['10'];['VV1CV'];['2'];['agnation-alchymy']
['alabaster'];['a(lla(ba(sti(r'];['/n/'];['alaba@ster'];['0010'];['VCVCV1CCVC'];['4'];['agnation-alchymy']
['alacriously'];['a(llakri(u(sly('];['/adv/'];['ala@criously'];['01000'];['VCV1CCVVVCCV'];['5'];['agnation-alchymy']
['alacrity'];['a(lIa(kri(ty('];['/n/'];['ala@crity'];['0100'];['VCV1CCVCV'];['4'];['agnation-alchymy']
['alamode'];['a(llamo)d'];['/adv/'];['alamo@de'];['001'];['VCVCV1CV'];['3'];['agnation-alchymy']
['alarm'];['a(lla%rm'];['/n/v/'];['ala@rm'];['01'];['VCV1CC'];['2'];['agnation-alchymy']
['alas'];['a(la%ss'];['/interj/'];['ala@s'];['01'];['VCV1C'];['2'];['agnation-alchymy']
['albeit'];['aulbeei(t'];['/conj/'];['albe@it'];['010'];['VCCV1VC'];['3'];['agnation-alchymy']
['albugineous'];['a(llbeugi(nyu(s'];['/adj/'];['albugi@neous'];['0010'];['VCCVCV1CVVVC'];['4'];['agnation-alchymy']
['alcahest'];['a(llka(he(st'];['/n/'];['a@lcahest'];['100'];['V1CCVCVCC'];['3'];['agnation-alchymy']
['alchymical'];['a(llki(mmi(ki(l'];['/adj/'];['alchy@mical'];['0100'];['VCCCV1CVCVC'];['4'];['agnation-alchymy']
['alchymist'];['a(llki(mi(st'];['/n/'];['a@lchymist'];['100'];['V1CCCVCVCC'];['3'];['agnation-alchymy']
['alchymy'];['allki(mmy('];['/n/'];['a@lchymy'];['100'];['V1CCCVCV'];['3'];['agnation-alchymy']
['alcohol'];['a(llko(ho(l'];['/n/'];['a@lcohol'];['100'];['V1CCVCVC'];['3'];['alcohol-alledgeable']
['alcoran'];['aulko(ri(n'];['/n/'];['alcoran'];['000'];['VCCVCVC'];['3'];['alcohol-alledgeable']
['alcove'];['a(ulko)v'];['/n/'];['a@lcove'];['10'];['V1CCVCV'];['2'];['alcohol-alledgeable']
['alder'];['auldi(r'];['/n/'];['a@lder'];['10'];['V1CCVC'];['2'];['alcohol-alledgeable']
['alderman'];['auldi(rma(n'];['/n/'];['a@lderman'];['100'];['V1CCVCCVC'];['3'];['alcohol-alledgeable']
['ale'];['ail'];['/n/'];['ale'];['0'];['VCV'];['1'];['alcohol-alledgeable']
['alebrewer'];['ailbrooi(r'];['/n/'];['a@lebrewer'];['1000'];['V1CVCCVCVC'];['4'];['alcohol-alledgeable']
['aleconner'];['ailko(nni(r'];['/n/'];['a@leconner'];['1000'];['V1CVCVCCVC'];['4'];['alcohol-alledgeable']
['alegar'];['a(lli(gi(r'];['/n/'];['a@legar'];['100'];['V1CVCVC'];['3'];['alcohol-alledgeable']
['alehoof'];['ailhoof'];['/n/'];['a@lehoof'];['10'];['V1CVCVVC'];['2'];['alcohol-alledgeable']
['alembic'];['a(lle(mbi(k'];['/n/'];['ale@mbic'];['010'];['VCV1CCVC'];['3'];['alcohol-alledgeable']
['alert'];['a(lle(rt'];['/adj/'];['ale@rt'];['01'];['VCV1CC'];['2'];['alcohol-alledgeable']
['alertness'];['a(lle(rtni(ss'];['/n/'];['ale@rtness'];['010'];['VCV1CCCVCC'];['3'];['alcohol-alledgeable']
['alexandrine'];['a(lle(ksa(ndri(n'];['/n/'];['alexa@ndrine'];['0010'];['VCVCV1CCCVCV'];['4'];['alcohol-alledgeable']
['alexipharmic'];['a(lle(ksi(fa(rmi(k'];['/adj/'];['alexipha@rmic'];['00010'];['VCVCVCCV1CCVC'];['5'];['alcohol-alledgeable']
['algebra'];['a(lji(bray'];['/n/'];['a@lgebra'];['100'];['V1CCVCCV'];['3'];['alcohol-alledgeable']
['algebraic'];['a(lji(braii(k'];['/adj/'];['algebra@ic'];['0010'];['VCCVCCV1VC'];['4'];['alcohol-alledgeable']
['algebraist'];['a(lji(braii(st'];['/n/'];['algebra@ist'];['0010'];['VCCVCCV1VCC'];['4'];['alcohol-alledgeable']
['algid'];['a(llji(d'];['/adj/'];['a@lgid'];['10'];['V1CCVC'];['2'];['alcohol-alledgeable']
['algorithm'];['a(llgo(ri(thm'];['/n/'];['a@lgorithm'];['100'];['V1CCVCVCCC'];['3'];['alcohol-alledgeable']
['alias'];['aili(a(ss'];['/adv/'];['a@lias'];['100'];['V1CVVC'];['3'];['alcohol-alledgeable']
['alien'];['a(ilyi(n'];['/n/'];['alien'];['00'];['VCVVC'];['2'];['alcohol-alledgeable']
['alienate'];['ai(lyi(nait'];['/v/'];['a@lienate'];['100'];['V1CVVCVCV'];['3'];['alcohol-alledgeable']
['alienation'];['ai(lyi(naishu(n'];['/n/'];['aliena@tion'];['0010'];['VCVVCV1CVVC'];['4'];['alcohol-alledgeable']
['alight'];['a(lli)t'];['/v/'];['ali@ght'];['01'];['VCV1CCC'];['2'];['alcohol-alledgeable']
['alike'];['alli)k'];['/a/'];['ali@ke'];['01'];['VCV1CV'];['2'];['alcohol-alledgeable']
['aliment'];['a(lli(mi(nt'];['/n/'];['a@liment'];['100'];['V1CVCVCC'];['3'];['alcohol-alledgeable']
['alimental'];['a(lli(me(nti(l'];['/adj/'];['alime@ntal'];['0010'];['VCVCV1CCVC'];['4'];['alcohol-alledgeable']
['alimentary'];['a(lli(mentairy('];['/adj/'];['alime@ntary'];['00100'];['VCVCV1CCVCV'];['5'];['alcohol-alledgeable']
['alimonious'];['a(lli(mo)nyu(s'];['/adj/'];['alimo@nious'];['0010'];['VCVCV1CVVVC'];['4'];['alcohol-alledgeable']
['alimony'];['a(lli(mu(nny'];['/n/'];['a@limony'];['1000'];['V1CVCVCV'];['4'];['alcohol-alledgeable']
['aliquant'];['a(lli(qui(nt'];['/adj/'];['a@liquant'];['100'];['V1CVCVVCC'];['3'];['alcohol-alledgeable']
['aliquot'];['a(lli(quo(t'];['/adj/'];['a@liquot'];['100'];['V1CVCVVC'];['3'];['alcohol-alledgeable']
['alive'];['a(lli)v'];['/adj/'];['ali@ve'];['01'];['VCV1CV'];['2'];['alcohol-alledgeable']
['alkali'];['a(lka(li)'];['/n/'];['a@lkali'];['100'];['V1CCVCV'];['3'];['alcohol-alledgeable']
['alkaline'];['a(lki(lli)n'];['/adj/'];['a@lkaline'];['100'];['V1CCVCVCV'];['3'];['alcohol-alledgeable']
['all'];['awl'];['/a/pron/'];['all'];['0'];['VCC'];['1'];['alcohol-alledgeable']
['allay'];['a(llay'];['/n/v/'];['allay'];['00'];['VCCVV'];['2'];['alcohol-alledgeable']
['allegation'];['a(lle(gaishu(n'];['/n/'];['allega@tion'];['0010'];['VCCVCV1CVVC'];['4'];['alcohol-alledgeable']
['alledge'];['a(lle(dsh'];['/v/'];['alle@dge'];['01'];['VCCV1CCV'];['2'];['alcohol-alledgeable']
['alledgeable'];['a(lle(dshi(bl'];['/adj/'];['alle@dgeable'];['010'];['VCCV1CCVVCCV'];['3'];['alcohol-alledgeable']
['allegiance'];['allee(dshi(nss'];['/n/'];['alle@giance'];['010'];['VCCV1CVVCCV'];['3'];['allegiance-almost']
['allegorical'];['a(lle(go(rri(ki(l'];['/adj/'];['allego@rical'];['00100'];['VCCVCV1CVCVC'];['5'];['allegiance-almost']
['allegorize'];['a(lle(go(rri)z'];['/v/'];['allegori@ze'];['0001'];['VCCVCVCV1CV'];['4'];['allegiance-almost']
['allegory'];['a(lle(go(rry('];['/n/'];['a@llegory'];['1000'];['V1CCVCVCV'];['4'];['allegiance-almost']
['allegro'];['a(lleegro('];['/n/'];['alle@gro'];['010'];['VCCV1CCV'];['3'];['allegiance-almost']
['allelujah'];['a(lle(looja('];['/n/'];['allelu@jah'];['0010'];['VCCVCV1CVC'];['4'];['allegiance-almost']
['alleviate'];['a(llee(vi(ait'];['/v/'];['alle@viate'];['0100'];['VCCV1CVVCV'];['4'];['allegiance-almost']
['alleviation'];['a(llee(vi(aishu(n'];['/n/'];['allevia@tion'];['00010'];['VCCVCVV1CVVC'];['5'];['allegiance-almost']
['alley'];['a(lly('];['/n/'];['a@lley'];['10'];['V1CCVV'];['2'];['allegiance-almost']
['alliance'];['a(lli)i(nss'];['/n/'];['alli@ance'];['010'];['VCCV1VCCV'];['3'];['allegiance-almost']
['allies'];['alli)z'];['/n/'];['alli@es'];['01'];['VCCV1VC'];['2'];['allegiance-almost']
['alligate'];['a(lli(gait'];['/v/'];['a@lligate'];['100'];['V1CCVCVCV'];['3'];['allegiance-almost']
['alligation'];['a(lli(gaishu(n'];['/n/'];['alliga@tion'];['0010'];['VCCVCV1CVVC'];['4'];['allegiance-almost']
['alligator'];['a(lli(gaitu(r'];['/n/'];['alliga@tor'];['0010'];['VCCVCV1CVC'];['4'];['allegiance-almost']
['allision'];['a(lleezyu(n'];['/n/'];['alli@sion'];['010'];['VCCV1CVVC'];['3'];['allegiance-almost']
['allocation'];['a(llo(kaishu(n'];['/n/'];['alloca@tion'];['0010'];['VCCVCV1CVVC'];['4'];['allegiance-almost']
['allocution'];['a(llo(keushu(n'];['/n/'];['allocu@tion'];['0010'];['VCCVCV1CVVC'];['4'];['allegiance-almost']
['allodial'];['allo)dyi(l'];['/adj/'];['allo@dial'];['010'];['VCCV1CVVC'];['3'];['allegiance-almost']
['allodium'];['allo)d yu(m'];['/n/'];['allo@dium'];['010'];['VCCV1CVVC'];['3'];['allegiance-almost']
['alonge'];['a(llu(nzsh'];['/n/'];['alo@nge'];['01'];['VCV1CCV'];['2'];['allegiance-almost']
['allot'];['a(llo(t'];['/v/'];['allo@t'];['01'];['VCCV1C'];['2'];['allegiance-almost']
['allotment'];['a(llo(tmi(nt'];['/n/'];['allo@tment'];['010'];['VCCV1CCVCC'];['3'];['allegiance-almost']
['allow'];['a(llo*w'];['/v/'];['allo@w'];['01'];['VCCV1C'];['2'];['allegiance-almost']
['allowable'];['a(llo*wi(bl'];['/adj/'];['allo@wable'];['010'];['VCCV1CVCCV'];['3'];['allegiance-almost']
['allowance'];['a(llo*wi(nss'];['/n/'];['allo@wance'];['010'];['VCCV1CVCCV'];['3'];['allegiance-almost']
['alloy'];['a(llay'];['/n/'];['allo@y'];['01'];['VCCV1V'];['2'];['allegiance-almost']
['allude'];['a(lleud'];['/v/'];['allu@de'];['01'];['VCCV1CV'];['2'];['allegiance-almost']
['alluminor'];['a(lleumi(nu(r'];['/n/'];['allu@minor'];['0100'];['VCCV1CVCVC'];['4'];['allegiance-almost']
['allure'];['a(lleur'];['/v/'];['allu@re'];['01'];['VCCV1CV'];['2'];['allegiance-almost']
['allurement'];['alleurmi(nt'];['/n/'];['allu@rement'];['0100'];['VCCV1CVCVCC'];['4'];['allegiance-almost']
['allusion'];['a(lleuzyu(n'];['/n/'];['allu@sion'];['010'];['VCCV1CVVC'];['3'];['allegiance-almost']
['allusive'];['a(lleusi(v'];['/adj/'];['allu@sive'];['010'];['VCCV1CVCV'];['3'];['allegiance-almost']
['allusively'];['a(lleusi(vly'];['/adv/'];['allu@sively'];['01000'];['VCCV1CVCVCV'];['5'];['allegiance-almost']
['ally'];['a(lli)'];['/v/n/'];['ally'];['00'];['VCCV'];['2'];['allegiance-almost']
['almanac'];['a(lmi(ni(k'];['/n/'];['a@lmanac'];['100'];['V1CCVCVC'];['3'];['allegiance-almost']
['almightiness'];['a(lmi)ti(ni(ss'];['/n/'];['almi@ghtiness'];['0100'];['VCCV1CCCVCVCC'];['4'];['allegiance-almost']
['almighty'];['au(lmi)ty('];['/adj/'];['almi@ghty'];['010'];['VCCV1CCCV'];['3'];['allegiance-almost']
['almond'];['a%lmu(nd'];['/n/'];['a@lmond'];['10'];['V1CCVCC'];['2'];['allegiance-almost']
['almoner'];['a%lmu(ni(r'];['/n/'];['a@lmoner'];['100'];['V1CCVCVC'];['3'];['allegiance-almost']
['almonry'];['a%lmu(nry('];['/n/'];['a@lmonry'];['100'];['V1CCVCCV'];['3'];['allegiance-almost']
['almost'];['aulmost'];['/adv/'];['almo@st'];['01'];['VCCV1CC'];['2'];['allegiance-almost']
['alms'];['a%lms'];['/n/'];['alms'];['0'];['VCCC'];['1'];['alms-amber']
['aloetics'];['a(llo(e(ti(ks'];['/n/'];['aloe@tics'];['0010'];['VCVV1CVCC'];['4'];['alms-amber']
['aloft'];['a(lo(ft'];['/adv/'];['alo@ft'];['01'];['VCV1CC'];['2'];['alms-amber']
['alone'];['a(llo)n'];['/a/'];['alo@ne'];['01'];['VCV1CV'];['2'];['alms-amber']
['along'];['a(llo(ng'];['/prep/'];['alo@ng'];['01'];['VCV1CC'];['2'];['alms-amber']
['aloof'];['a(lloof'];['/adv/'];['aloo@f'];['01'];['VCVV1C'];['2'];['alms-amber']
['aloud'];['a(llou*d'];['/adv/'];['alo@ud'];['01'];['VCV1VC'];['2'];['alms-amber']
['alphabet'];['a(lfa(be(t'];['/n/v/'];['a@lphabet'];['100'];['V1CCCVCVC'];['3'];['alms-amber']
['alphabetical'];['a(lfa(be(tti(ki(l'];['/adj/'];['alphabe@tical'];['00100'];['VCCCVCV1CVCVC'];['5'];['alms-amber']
['already'];['a(lre(ddy('];['/adv/'];['alrea@dy'];['010'];['VCCVV1CV'];['3'];['alms-amber']
['altar'];['aultr'];['/n/'];['a@ltar'];['10'];['V1CCVC'];['2'];['alms-amber']
['alter'];['aultr'];['/v/'];['a@lter'];['10'];['V1CCVC'];['2'];['alms-amber']
['alterable'];['aulti(ri(bl'];['/adj/'];['a@lterable'];['100'];['V1CCVCVCCV'];['3'];['alms-amber']
['alteration'];['aulti(raishu(n'];['/n/'];['altera@tion'];['0010'];['VCCVCV1CVVC'];['4'];['alms-amber']
['alterative'];['aultri(tee(v'];['/adj/'];['a@lterative'];['1000'];['V1CCVCVCVCV'];['4'];['alms-amber']
['altercation'];['aulti(rkaishun'];['/n/'];['alterca@tion'];['0010'];['VCCVCCV1CVVC'];['4'];['alms-amber']
['alternate'];['aulte(rni(t'];['/v/'];['alte@rnate'];['010'];['VCCV1CCVCV'];['3'];['alms-amber']
['alternately'];['aulte(rni(tly('];['/adv/'];['alte@rnately'];['01000'];['VCCV1CCVCVCV'];['5'];['alms-amber']
['alternative'];['aulte(rni(ti(v'];['/n/'];['alte@rnative'];['0100'];['VCCV1CCVCVCV'];['4'];['alms-amber']
['alternatively'];['aulte(rni(ti(vly('];['/adv/'];['alte@rnatively'];['010000'];['VCCV1CCVCVCVCV'];['6'];['alms-amber']
['although'];['aultho)'];['/conj/'];['althou@gh'];['01'];['VCCCVV1CC'];['2'];['alms-amber']
['altimetry'];['a(lti(mmi(try('];['/n/'];['alti@metry'];['0100'];['VCCV1CVCCV'];['4'];['alms-amber']
['altitude'];['a(lti(teud'];['/n/'];['a@ltitude'];['100'];['V1CCVCVCV'];['3'];['alms-amber']
['aludel'];['a(lleudi(l'];['/n/'];['alu@del'];['010'];['VCV1CVC'];['3'];['alms-amber']
['alum'];['a(llu(m'];['/n/'];['a@lum'];['10'];['V1CVC'];['2'];['alms-amber']
['aluminous'];['a(lleuminu(s'];['/adj/'];['alu@minous'];['0100'];['VCV1CVCVVC'];['4'];['alms-amber']
['always'];['aulwaiz'];['/adv/'];['a@lways'];['10'];['V1CCVVC'];['2'];['alms-amber']
['amain'];['a(mmain'];['/adv/'];['amai@n'];['01'];['VCVV1C'];['2'];['alms-amber']
['amalgamate'];['a(ma(lga(mait'];['/v/'];['ama@lgamate'];['0100'];['VCV1CCVCVCV'];['4'];['alms-amber']
['amanuensis'];['a(ma(neue(nsi(s'];['/n/'];['amanue@nsis'];['00010'];['VCVCVV1CCVC'];['5'];['alms-amber']
['amaranthus'];['a(ma(ra(nthu(s'];['/n/'];['amara@nthus'];['0010'];['VCVCV1CCCVC'];['4'];['alms-amber']
['amass'];['a(mass'];['/n/'];['ama@ss'];['01'];['VCV1CC'];['2'];['alms-amber']
['amatory'];['aima(to(rry('];['/n/'];['a@matory'];['1000'];['V1CVCVCV'];['4'];['alms-amber']
['amaze'];['a(maiz'];['/v/'];['ama@ze'];['01'];['VCV1CV'];['2'];['alms-amber']
['amazedly'];['a(maizi(dly('];['/adv/'];['ama@zedly'];['0100'];['VCV1CVCCV'];['4'];['alms-amber']
['amazement'];['a(maizmi(nt'];['/n/'];['ama@zement'];['0100'];['VCV1CVCVCC'];['4'];['alms-amber']
['amazing'];['a(maizi(ng'];['/adj/'];['ama@zing'];['010'];['VCV1CVCC'];['3'];['alms-amber']
['amazon'];['a(ma(zu(n'];['/n/'];['a@mazon'];['100'];['V1CVCVC'];['3'];['alms-amber']
['ambages'];['a(mbaije(z'];['/n/'];['amba@ges'];['010'];['VCCV1CVC'];['3'];['alms-amber']
['ambassador'];['a(mbassi(du(r'];['/n/'];['amba@ssador'];['0100'];['VCCV1CCVCVC'];['4'];['alms-amber']
['amber'];['a(mbr'];['/n/'];['a@mber'];['10'];['V1CCVC'];['2'];['alms-amber']
['ambergrese'];['a(mbrgreez'];['//'];['a@mbergrese'];['100'];['V1CCVCCCVCV'];['3'];['ambergrese-amiss']
['ambidexter'];['a(mbi(de(kstr'];['/adj/n/'];['ambide@xter'];['0010'];['VCCVCV1CCVC'];['4'];['ambergrese-amiss']
['ambidextrous'];['a(mbi(de(kstru(s'];['/adj/'];['ambide@xtrous'];['0010'];['VCCVCV1CCCVVC'];['4'];['ambergrese-amiss']
['ambient'];['a(mbi(i(nt'];['/adj/'];['a@mbient'];['100'];['V1CCVVCC'];['3'];['ambergrese-amiss']
['ambifarious'];['a(mbi(fairi(u(s'];['//'];['ambifa@rious'];['00100'];['VCCVCV1CVVVC'];['5'];['ambergrese-amiss']
['ambiguity'];['a(mbi(geui(ty('];['/n/'];['ambigu@ity'];['00100'];['VCCVCV1VCV'];['5'];['ambergrese-amiss']
['ambiguous'];['a(mbi(geuu(s'];['/adj/'];['ambi@guous'];['0100'];['VCCV1CVVVC'];['4'];['ambergrese-amiss']
['ambit'];['a(mbi(t'];['/n/'];['a@mbit'];['10'];['V1CCVC'];['2'];['ambergrese-amiss']
['ambition'];['a(mbee(shu(n'];['/n/'];['ambi@tion'];['010'];['VCCV1CVVC'];['3'];['ambergrese-amiss']
['ambitious'];['a(mbee(shu(s'];['/adj/'];['ambi@tious'];['010'];['VCCV1CVVVC'];['3'];['ambergrese-amiss']
['ambitiously'];['a(mbee(shu(sly('];['/adv/'];['ambi@tiously'];['0100'];['VCCV1CVVVCCV'];['4'];['ambergrese-amiss']
['ambitude'];['a(mbi(teud'];['/n/'];['a@mbitude'];['100'];['V1CCVCVCV'];['3'];['ambergrese-amiss']
['amble'];['a(mbl'];['/v/'];['a@mble'];['1'];['V1CCCV'];['1'];['ambergrese-amiss']
['ambler'];['a(mbli(r'];['/n/'];['a@mbler'];['10'];['V1CCCVC'];['2'];['ambergrese-amiss']
['ambrosia'];['a(mbro)shi(a('];['/n/'];['ambro@sia'];['0100'];['VCCCV1CVV'];['4'];['ambergrese-amiss']
['ambrosial'];['a(mbro)shi(l'];['/adj/'];['ambro@sial'];['010'];['VCCCV1CVVC'];['3'];['ambergrese-amiss']
['ambry'];['a(bry('];['/n/'];['a@mbry'];['10'];['V1CCCV'];['2'];['ambergrese-amiss']
['ambulation'];['a(mbeulaishu(n'];['/n/'];['ambula@tion'];['0010'];['VCCVCV1CVVC'];['4'];['ambergrese-amiss']
['ambulatory'];['a(mbu(lli(to(rry('];['/adj/'];['a@mbulatory'];['10000'];['V1CCVCVCVCV'];['5'];['ambergrese-amiss']
['ambuscade'];['a(mbu(skaid'];['/n/'];['ambusca@de'];['001'];['VCCVCCV1CV'];['3'];['ambergrese-amiss']
['ambush'];['a(mbu(sh'];['/n/'];['a@mbush'];['10'];['V1CCVCC'];['2'];['ambergrese-amiss']
['ambushed'];['a(mbushi(d'];['/adj/'];['a@mbushed'];['100'];['V1CCVCCVC'];['3'];['ambergrese-amiss']
['ambustion'];['a(mbu(styu(n'];['/n/'];['ambu@stion'];['010'];['VCCV1CCVVC'];['3'];['ambergrese-amiss']
['amel'];['a(mmi(l'];['/n/'];['a@mel'];['10'];['V1CVC'];['2'];['ambergrese-amiss']
['amen'];['aime(n'];['/adv/'];['ame@n'];['01'];['VCV1C'];['2'];['ambergrese-amiss']
['amenable'];['a(mee(ni(bl'];['/adj/'];['ame@nable'];['010'];['VCV1CVCCV'];['3'];['ambergrese-amiss']
['amend'];['a(me(nd'];['/n/v/'];['ame@nd'];['01'];['VCV1CC'];['2'];['ambergrese-amiss']
['amendment'];['a(me(ndmi(nt'];['/n/'];['ame@ndment'];['010'];['VCV1CCCVCC'];['3'];['ambergrese-amiss']
