hwdR;posR;schAccentR_Walker;schAccentR_Buchanan
metallurgy;noun;1-0-0-0;0-1-0-0
metaphrase;noun;1-0-0;0-0-1
metaphrast;noun;1-0-0;0-0-1
meteor;noun;1-0-1-0-0;1-0-0
metonymy;noun;0-1-0-1-0-0-0;0-1-0-0
metre;noun;1-0;1
mettle;noun;1-0;1
mezzotinto;noun;0-0-1-0;1-0-0-0
michaelmas;noun;1-0-0;0-1-0
microcosm;noun;1-0-0;0-0-1
micrography;noun;0-1-0-0;1-0-0-0
mid-sea;noun;1-0;
midwifery;noun;1-0-0;1-0-0-0
milestone;noun;1-0;1-0-0
millenarian;noun;0-0-1-0-0;0-0-1-0
millennium;noun;0-1-0-0;0-1-0
millepedes;noun;1-0-0-1-0-0;0-1-0-0
mimicry;noun;1-0-0;0-0-0
mingler;noun;1-0-0;1-0
miniature;noun;1-0-0;1-0-0-0
minuteness;noun;0-1-0;0-1-0-0
miracle;noun;1-0-0;1-0
misbehaviour;noun;0-0-1-0;0-0-1-0-0
miscellaneousness;noun;0-0-1-0-0-0;0-0-1-0-0
mislive;verb;0-1;1-0
mistletoe;noun;1-0-0;0-0-1
mitre;noun;1-0;1
moble;verb;1-0;1
mocho-stone;noun;1-0-0;
moderateness;noun;1-0-0-0;1-0-0-0-0
modulate;verb;1-0-1-0-0;1-0-0
modulation;noun;0-0-1-0-0-1-0;0-0-1-0
modulator;noun;1-0-0-1-0-0-0;1-0-0-0
module;noun;1-1-0;1-0
moidore;noun;0-1;1-0
molecast;noun;1-0;1-0-0
molecatcher;noun;1-0-0;1-0-0-0
molehill;noun;1-0;1-0-0
molewarp;noun;1-0;1-0-0
monastery;noun;1-0-1-0-0-0;1-0-0-0
moneyscrivener;noun;1-0-0-0;1-0-0-0-0
monomachy;noun;0-1-0-0;1-0-0-0
monoptote;noun;1-0-0-1-0;0-1-0
monostich;noun;1-0-0;0-1-0
monosyllable;noun;1-0-0-0-0;0-0-1-0
moonfern;noun;1-0;0-1
morion;noun;1-0-0;1-0
moroseness;noun;0-1-0;0-1-0-0
mortgager;noun;0-0-1;1-0-0
moveables;noun;1-0-0;1-0
moveableness;noun;1-0-0-0;1-0-0
movement;noun;1-0;1-0-0
moyle;noun;0;1
muddle;verb;1-0;1
mudwall;noun;1-0;0-1
muffle;verb;1-0;1
muffler;noun;1-0-0;1-0
muleteer;noun;1-0-1;0-0-1
mulligrubs;noun;1-0-0;0-1-0
multipede;noun;1-0-0;0-0-1
multiple;noun;1-0-0;1-0
multipliableness;noun;1-0-0-0-0-0;0-0-0-0-0
multiplier;noun;1-0-0-0;0-0-1-0
mumble;verb;1-0;1
mumbler;noun;1-0-0;1-0
murrion;noun;1-0-0;1-0
muscle;noun;1-0;1
museum;noun;0-1-0;1-0-0
musician;noun;0-1-0;1-0-0
muskiness;noun;1-0-0;0-0-0
muskmelon;noun;1-0-0;0-1-0
muskpear;noun;1-0;0-0
muttonfist;noun;1-0-0;0-0-1
myrobalan;noun;0-1-0-0-1-0-0;0-1-0-0
myropolist;noun;0-1-0-0-1-0-0;0-1-0-0
myrtle;noun;1-0;1
mystagogue;noun;1-0-0;0-0-1
mysteriousness;noun;0-1-0-0-0;0-1-0-0
namesake;noun;1-0;1-0-0
nativeness;noun;1-0-0;1-0-0-0
nativity;noun;0-1-0-0;1-0-0-0
navigator;noun;1-0-0-0;0-0-1-0
nauseate;verb;1-0-0;1-0
needle;noun;1-0;1
negotiator;noun;0-1-0-0-0;0-0-0-1-0
neophyte;noun;1-0-0;0-1-0
nepenthe;noun;0-1-0;1-0
nescience;noun;1-0-0;1-0
nestle;verb;1-0;1
neurology;noun;0-1-0-0;1-0-0-0
neurotomy;noun;0-1-0-0;1-0-0-0
nibble;verb;1-0;1
nibbler;noun;1-0-0;1-0
niceness;noun;1-0;1-0-0
nickname;noun;1-0;0-1
nightbrawler;noun;1-0-0;0-1-0
nightraven;noun;0-1-0;1-0-0
ninepins;noun;1-0;1-0-0
nipple;noun;1-0;1
nitre;noun;1-0;1
nobless;noun;0-1;1-0
noddle;noun;1-0;1
nonjuror;noun;1-0-0;0-1-0
nonresidence;noun;0-1-0-0;1-1-0-0
noodle;noun;1-0;1
nosle;noun;1-0;1
nosology;noun;0-1-0-0;1-0-0-0
notoriousness;noun;0-1-0-0-0;0-1-0-0
novitiate;noun;0-1-0-0;1-0-0
nozle;noun;1-0;1
numerator;noun;1-0-0-0;0-0-1-0
nuncio;noun;1-0-0;1-0
nuzzle;verb;1-0;1
oakapple;noun;1-0-0;0-1
oatcake;noun;1-0;0-1
oatmeal;noun;1-1-0;1-0
obduracy;noun;1-0-0-0-1-0-0;0-1-0-0
obdurateness;noun;1-0-0-0;0-1-0-0-0
obedience;noun;0-1-0-0;0-1-0
oblige;verb;0-1-1;0-1
oblige;verb;0-1-1;0-1
obligement;noun;0-1-0-1-0;0-1-0-0
obliger;noun;0-1-0-1-0;0-1-0
obligingness;noun;0-1-0-0-1-0-0;0-1-0-0
oblivion;noun;0-1-0-0;0-1-0
oblongness;noun;1-0-0;0-1-0
obnubilate;verb;0-1-0-0;1-0-0-0
obsoleteness;noun;1-0-0-0;1-0-0-0-0
obstacle;noun;1-0-0;1-0
obstinateness;noun;1-0-0-0;1-0-0-0-0
obtuseness;noun;0-1-0;0-0-0-0
ochre;noun;1-0;1
octave;noun;1-0;0-1
odiousness;noun;1-0-0-1-0-0-0;1-0-0
odium;noun;1-0-1-0-0;1-0
offensiveness;noun;0-1-0-0;0-1-0-0-0
offertory;noun;1-0-0-0;0-1-0-0
officiate;verb;0-1-0-0;0-1-0
ogler;noun;1-0-0;1-0
oleander;noun;0-0-1-0;0-1-0-0
oleaster;noun;0-0-1-0;0-1-0-0
oligarchy;noun;1-0-0-0;0-0-1-0
olio;noun;1-0-0;1-0
ombre;noun;1-0;1
omega;noun;0-1-0;1-0-0
omelet;noun;1-0;1-0-0
ominousness;noun;1-0-0-0;0-1-0-0
omnisciency;noun;0-1-0-0-0;0-1-0-0
oneness;noun;1-0;0-1-0
operator;noun;1-0-0-0;0-0-1-0
opiniator;noun;0-0-0-1-0;0-0-1-0
oppositeness;noun;1-0-0-0;1-0-0-0-0
oppress;verb;0-1;1-0
oppression;noun;0-1-0;1-0-0
optician;noun;0-1-0;1-0-0
oracle;noun;1-0-0;1-0
orangery;noun;0-1-0-0;1-0-0-0
orchestre;noun;1-0-0;1-0
ordain;verb;0-1;1-0
ordainer;noun;0-1-0;1-0-0
ordeal;noun;1-0-1-0-0;1-0
ordonnance;noun;1-0-0;0-1-0
orgasm;noun;1-0;0-1
orient;noun;1-0-0;1-0
orientality;noun;0-0-0-1-0-0;0-0-1-0-0-0
origan;noun;1-0-0;0-0-0
orpiment;noun;1-0-0;0-1-0
oscitancy;noun;1-0-0-0;0-1-0-0
ossicle;noun;1-0-0;1-0
ossifrage;noun;1-0-0;0-1-0
ostent;noun;0-1;1-0
overcomer;noun;0-0-1-0;1-0-0-0
overdo;verb;0-0-1;1-0-0
overlooker;noun;0-0-1-0;1-0-0-0
overmatch;noun;1-0-0;0-0-1
overseer;noun;0-0-1-0;0-0-1
oversight;noun;1-0-0;0-0-1
outcast;noun;1-0;0-1
outgo;verb;0-1;1-0
outside;noun;1-0;0-1
outstrip;verb;0-1;1-0
oxbane;noun;1-0;0-1
oxheal;noun;1-0;0-1
oxlip;noun;1-0;0-1
oxstall;noun;1-0;0-1
pacifier;noun;1-0-0-0;0-1-0-0
packsaddle;noun;1-0-0;1-0
paddler;noun;1-0-0;1-0
painfulness;noun;1-0-0;0-1-0
painstaker;noun;1-0-0;0-1-0
palanquin;noun;0-0-1;0-1-0
paleness;noun;1-0;1-0-0
palfrey;noun;1-1-0;1-0
palliate;verb;1-0-0;1-0
pandect;noun;1-0;0-0
pannier;noun;1-0;0-1
panoply;noun;1-0-0;0-1-0
pantaloon;noun;0-0-1;1-0-0
pantofle;noun;0-1-0;1-0
papa;noun;0-1;0-0
papistry;noun;1-0-0;0-1-0
parable;noun;1-0-0;1-0
parabola;noun;0-1-0-0;1-0-0-0
paragoge;noun;0-0-1-0;0-0-1
parallelism;noun;1-0-0-0;0-0-1-0
parallelopiped;noun;0-0-0-0-1-0;0-0-0-1-0-0
paralogism;noun;0-1-0-0;1-0-0-0
paralogy;noun;0-1-0-0;1-0-0-0
paralysis;noun;0-1-0-0;1-0-0-0
parapegm;noun;1-0-0;0-1-0
paraphernalia;noun;0-0-0-1-0-0;0-0-0-1-0
pardonableness;noun;1-0-0-0-0;1-0-0-0
parhelion;noun;0-1-0-0;0-1-0
parole;noun;0-1;1-0
parotis;noun;0-1-0;1-0-0
parsimoniousness;noun;0-0-1-0-0-0;0-0-1-0-0
parsimony;noun;1-0-0-0;0-1-0-0
parterre;noun;0-1;1-0
partiality;noun;0-0-1-0-0;0-1-0-0
partialize;verb;1-0-0;0-0-1
participle;noun;1-0-0-0;1-0-0
particle;noun;1-0-0;1-0
pasquinade;noun;0-0-1;1-0-0
passiveness;noun;1-0-0;1-0-0-0
patacoon;noun;0-0-1;1-0-0
patefaction;noun;0-0-1-0;0-0-0-0
patrician;noun;0-1-0;1-0-0
pavement;noun;1-0;1-0-0
peaceableness;noun;1-0-0-0;1-0-0
peculator;noun;1-0-0-0;0-0-1-0
peculiarity;noun;0-0-0-1-0-0;0-0-1-0-0
pedals;noun;1-1-0;1-0
pedicle;noun;1-0-0;1-0
peeler;noun;1-0;0-0
pellicle;noun;1-0-0;1-0
penknife;noun;1-0;0-1
pensileness;noun;1-0-0;1-0-0-0
pensiveness;noun;1-0-0;1-0-0-0
percolation;noun;0-0-1-0;0-0-0-0
perempt;verb;0-1;1-0
peremption;noun;0-1-0;1-0-0
peremptoriness;noun;1-0-0-0-0;0-1-0-0-0
perflate;verb;0-1;1-0
perforator;noun;1-0-0-0;0-0-1-0
perform;verb;0-1-1;0-1
pericardium;noun;0-0-1-0-0;0-0-1-0
pericarpium;noun;0-0-1-0-0;0-0-1-0
pericranium;noun;0-0-1-0-0;0-0-1-0
perihelium;noun;0-0-1-0-0;0-0-1-0
periosteum;noun;0-0-1-0;0-1-0-0
perisystole;noun;0-0-1-0-0;0-0-1-0
perjury;noun;1-0-0;0-1-0
perpetuity;noun;0-0-1-0-0;0-1-0-0-0
perspicience;noun;0-1-0-0;0-0-1
persuasibleness;noun;0-1-0-0-0;0-1-0-0
pertinacy;noun;1-0-0-0;0-1-0-0
perverseness;noun;0-1-0;0-1-0-0
peruke;noun;1-0;0-1
pestle;noun;1-0;1
petal;noun;1-1-0;1-0
peter-wort;noun;1-0-0;
petre;noun;1-0;1
pettifogger;noun;1-0-0-0;0-0-1-0
pettishness;noun;1-0-0;0-1-0
phalanx;noun;1-1-0;1-0
pharmacopoeia;noun;0-0-0-1-0;0-0-0-0-1-0
philosophy;noun;0-1-0-0;1-0-0-0
phlogiston;noun;0-1-0-1-0;0-1-0
phytology;noun;0-1-0-0;1-0-0-0
pia-mater;noun;0-0-1-0;
piaster;noun;0-1-0;1-0-0
pickeer;verb;0-1;1-0
pickleherring;noun;0-0-1-0;1-0-0-0
piddler;noun;1-0-0;1-0
piedness;noun;1-0;0-1-0
piercer;noun;1-1-0;1-0
piercingness;noun;1-0-1-0-0;1-0-0
pikeman;noun;1-0;1-0-0
pikestaff;noun;1-0;1-0-0
pimple;noun;1-0;1
pineapple;noun;1-0-0;1-0
pinnacle;noun;1-0-0;1-0
pioneer;noun;0-0-1;0-1-0
pistillation;noun;0-0-1-0;0-1-0-0
pistolet;noun;0-0-1;1-0-0
pitapat;noun;1-0-0;0-0-0
piteousness;noun;1-0-0-0;1-0-0
plagiarism;noun;1-0-0;1-0-0-0
plagiary;noun;1-0-0;1-0-0-0
plane-tree;noun;1-0;
plausibleness;noun;1-0-0-0;1-0-0
plenipotence;noun;0-1-0-0;1-0-0-0
plenteousness;noun;1-0-0-0;1-0-0
pliableness;noun;1-0-0-0;1-0-0
ploughland;noun;1-0;0-1
ploughshare;noun;1-0;0-1
plumcake;noun;0-1;1-0
plumporridge;noun;0-1-0;1-0-0
plumpudding;noun;0-1-0;1-0-0
poetaster;noun;1-0-0-0;0-1-0-0
polecat;noun;1-0;1-0-0
polestar;noun;1-0;1-0-0
police;noun;0-1;1-0
politeness;noun;0-1-0;0-1-0-0
pollevil;noun;0-1-0;1-0-0
pollute;verb;0-1;1-0
poltron;noun;0-1;1-0
polysyllable;noun;1-0-0-0-0;0-0-1-0
polytheism;noun;1-0-0-0;0-1-0-0
polytheist;noun;1-0-0-0;0-1-0-0
pomade;noun;0-1;1-0
pomander;noun;0-1-0;1-0-0
pomegranate;noun;0-1-0;0-0-1-0
poorjohn;noun;0-1;0-0
popedom;noun;1-0;1-0-0
popinjay;noun;1-0-0;0-1-0
porridgepot;noun;1-0-0;1-0-0-0
portass;noun;1-0;0-1
portray;verb;0-1;1-0
positiveness;noun;1-0-0-0;1-0-0-0-0
posse;noun;1-0;1
postiller;noun;1-0-0;0-1-0
postmaster;noun;1-0-0;0-1-0
postoffice;noun;0-1-0;1-0-0
posturemaster;noun;1-0-0-0;0-0-0-1-0
potbelly;noun;1-0-0;0-1-0
potcompanion;noun;1-0-1-0;0-0-1-0
pottern-ore;noun;1-0-0;
pottle;noun;1-0;1
powder-room;noun;1-0-0;
powder-chests;noun;1-0-0;
preamble;noun;1-0-0;1-0
precariousness;noun;0-1-0-0-0;0-1-0-0
precinct;noun;0-1;1-0
precisian;noun;0-1-0-0;0-1-0
predestinarian;noun;0-0-0-1-0-0;0-0-0-1-0
predestinator;noun;0-1-0-0-0;0-0-0-1-0
prefix;noun;1-0;0-1
prelatureship;noun;1-0-0-0;1-0-0-0-0
premium;noun;1-0-0;1-0
premunire;noun;1-0-0-0;0-0-1
prenticeship;noun;1-0-0;1-0-0-0
preominate;verb;0-1-0-0;1-0-0-0-0
preopinion;noun;0-0-1-0;1-0-0-0
preordain;verb;0-0-1;0-1-0
prepotency;noun;0-1-0-0;1-0-0-0
prepuce;noun;1-0;0-1
prerequire;verb;0-0-1;1-0-0
presagement;noun;0-1-0;0-1-0-0
preseance;noun;0-1-0;1-0-0
presence-room;noun;1-0-0;
presentee;noun;0-0-1;1-0-0
presidency;noun;1-0-0-0;0-1-0-0
prevaricator;noun;0-1-0-0-0;0-0-0-1-0
prickle;noun;1-0;1
primateship;noun;1-0-0;1-0-0-0
primitiveness;noun;1-0-0-0;1-0-0-0-0
princedom;noun;1-0;1-0-0
princeliness;noun;1-0-0;1-0-0-0
priority;noun;0-1-0-0;1-0-0-0
prismoid;noun;1-0;0-1-0
privacy;noun;1-0-1-0-0;1-0-0
privateness;noun;1-0-0;1-0-0-0
privativeness;noun;1-0-0-0;1-0-0-0-0
prizefighter;noun;1-0-0;1-0-0-0
procinct;noun;0-1;1-0
procrastinator;noun;0-1-0-0-0;0-0-0-1-0
procreator;noun;1-0-0-0;0-0-1-0
procurement;noun;0-1-0;0-1-0-0
profaneness;noun;0-1-0;0-1-0-0
profile;noun;1-0-1;0-1
profligateness;noun;1-0-0-0;1-0-0-0-0
profuseness;noun;0-1-0;0-1-0-0
prognosticator;noun;0-1-0-0-0;0-0-0-1-0
progressiveness;noun;0-1-0-0;0-1-0-0-0
promove;verb;0-1;1-0
proneness;noun;1-0;1-0-0
pronoun;noun;1-0;0-1
propagator;noun;1-0-0-0;0-0-1-0
propitiate;verb;0-1-0-0;0-1-0
propitiator;noun;0-1-0-0-0;0-0-0-1-0
proplasm;noun;1-0;0-1
prosecutor;noun;1-0-0-0;0-0-1-0
prosodian;noun;0-1-0-0;0-1-0
prospicience;noun;0-1-0-0;0-1-0
provedore;noun;0-0-1;1-0-0
provinciate;verb;0-1-0-0;0-1-0
provost;noun;0-1;1-0
prowess;noun;1-1-0;1-0
pruriency;noun;1-0-0-0;1-0-0
pseudography;noun;0-1-0-0;1-0-0-0
pseudology;noun;0-1-0-0;1-0-0-0
ptisan;noun;0-1;1-0
puberty;noun;1-0-0;0-1-0
pucelage;noun;1-0-0;0-1-0
puissance;noun;1-0-0-1-0;0-1-0
pulverulence;noun;0-1-0-0;1-0-0-0
pumice;noun;1-1-0;1-0
purblindness;noun;1-0-0;0-1-0
pureness;noun;1-0;1-0-0
pursenet;noun;1-0;1-0-0
puzzler;noun;1-0-0;1-0
pyrites;noun;0-1-1-0-0;0-1-0
pyrotechny;noun;1-0-0-0;0-0-1-0
quadrangle;noun;1-0-0;1-0
quadrature;noun;1-0-0;0-1-0
quadrille;noun;0-1;1-0
quadrireme;noun;1-0-0;0-0-1
quaking-grass;noun;1-0-0;
quarantine;noun;0-0-1;1-0-0
querimoniousness;noun;0-0-1-0-0-0;0-0-1-0-0
questionableness;noun;1-0-0-0-0;0-0-0-0
quibbler;noun;1-0-0;1-0
quiescence;noun;0-1-0;1-0-0
rabble;noun;1-0;1
racehorse;noun;1-0;1-0-0
rackoon;noun;0-1;1-0
rack-rent;noun;1-0;
rack-renter;noun;1-0-0;
radiancy;noun;1-0-0-1-0-0-0;1-0-0
radiation;noun;0-0-1-0-0-1-0;0-0-1-0
radicality;noun;0-0-1-0-0;1-0-0-0-0
radius;noun;1-0-1-0-0;1-0
rakehell;noun;1-0;1-0-0
rambler;noun;1-0-0;1-0
rambooze;noun;0-1;1-0-0
rapier;noun;1-0-0;1-0
rapport;noun;0-1;1-0
rareness;noun;1-0;1-0-0
ratio;noun;1-0-0;1-0
rationality;noun;0-0-0-1-0-0;0-0-1-0-0
rationalness;noun;1-0-0-0;0-1-0-0
ratteen;noun;0-1;1-0
rattoon;noun;0-1;1-0
ravelin;noun;1-0;1-0-0
ravenousness;noun;1-0-0-0;1-0-0
reascend;verb;0-0-1;0-0-0
reasonableness;noun;1-0-0-0-0;1-0-0-0
reassemble;verb;0-0-1-0;0-0-1
rebaptize;verb;0-0-1;0-1-0
receptacle;noun;1-0-0-0-1-0-0;0-1-0
recipe;noun;1-0-0;1-0
recipient;noun;0-1-0-0;0-1-0
recognise;verb;1-0-0;0-0-1
recognisor;noun;0-0-0-1;0-0-1-0
reconcileableness;noun;0-0-1-0-0-0;0-0-1-0-0
reconcilement;noun;1-0-0-0;0-0-1-0-0
reconciler;noun;1-0-0-0;0-0-1-0
record;noun;1-0-1;1-0
recreativeness;noun;1-0-0-0-0;0-0-1-0-0
recriminator;noun;0-1-0-0-0;0-0-0-1-0
rectangle;noun;1-0-0;0-1
recusant;noun;0-1-1-0-0;0-1-0
reddle;noun;1-0;1
redeemableness;noun;0-1-0-0-0;0-1-0-0
redouble;verb;0-1-0;0-1
reducement;noun;0-1-0;0-1-0-0
refectory;noun;0-1-0-1-0-0-0;0-1-0-0
refinement;noun;0-1-0;0-1-0-0
reflux;noun;1-0;0-1
refrigeration;noun;0-0-0-1-0;0-1-0-1-0
regalement;noun;0-1-0;0-1-0-0
regalia;noun;0-1-0-0;0-1-0
regenerateness;noun;0-1-0-0-0;0-1-0-0-0-0
regulator;noun;1-0-0-0;0-0-1-0
reinsert;verb;0-0-1;0-0-0
rekindle;verb;0-1-0;0-1
relativeness;noun;1-0-0-0;1-0-0-0-0
remanent;noun;1-0-0;0-1-0
remarkableness;noun;0-1-0-0-0;0-1-0-0
remedilessness;noun;1-0-0-0-0;0-1-0-0-0
remora;noun;1-0-0;0-1-0
remorse;noun;0-1-1;0-1
remoteness;noun;0-1-0;0-1-0-0
renard;noun;1-0;0-1
renitency;noun;0-1-0-0;1-0-0-0
repeople;verb;0-1-0;0-1
repertory;noun;1-0-0-0;0-1-0-0
reprobateness;noun;1-0-0-0;1-0-0-0-0
repudiate;verb;0-1-0-0-1-0-0;0-1-0-0
require;verb;0-1;0-1-0
rereward;noun;1-0;1-0-0
resale;noun;1-0;0-1
resemble;verb;0-1-0;0-1
reservedness;noun;0-1-0;0-1-0-0
resettle;verb;0-1-0;0-1
resiliency;noun;0-1-0-0-0;0-1-0-0
resound;verb;1-0;0-1
restifness;noun;1-0-0;0-1-0
retaliate;verb;0-1-0-0;0-1-0
retentiveness;noun;0-1-0-0;0-1-0-0-0
reticle;noun;1-0-0;1-0
retinue;noun;1-0-0-1-0;1-0-0
retiredness;noun;0-1-0;0-1-0-0
retirement;noun;0-1-0;0-1-0-0
retribute;verb;0-1-0;1-0-0
revel-rout;noun;1-0-0;
revengement;noun;0-1-0;0-1-0-0
revenue;noun;1-0-0-1-0;1-0-0
revestiary;noun;0-1-0-0-0;0-1-0-0
revictual;verb;0-1-0;0-1
revokement;noun;0-1-0;0-1-0-0
rhomboid;noun;1-0;1-0-0
rifeness;noun;1-0;1-0-0
rifle;verb;1-0;1
rifler;noun;1-0-0;1-0
righteousness;noun;1-0-0-0;1-0-0
rimple;verb;1-0;1
ring-bone;noun;1-0;
ringleader;noun;1-0-0;0-1-0
ripeness;noun;1-0;1-0-0
river-dragon;noun;1-0-1-0;
river-horse;noun;1-0-0;
rixdollar;noun;1-0-0;0-1-0
robin-red-breast;noun;0-0-1-0;
roche-alum;noun;0-1-0;
rock-doe;noun;1-0;
rock-ruby;noun;1-0-0;
rock-salt;noun;1-0;
roguery;noun;1-0-0;1-0
rondeau;noun;0-1;1-0
rookery;noun;1-0-0;1-0
ropedancer;noun;1-0-0;1-0-0-0
ropemaker;noun;1-0-0;1-0-0-0
ropetrick;noun;1-0;1-0-0
roquelaure;noun;0-0-1;1-0-0
rose-noble;noun;1-0-0;
rubble-stone;noun;1-0-0;
ruddle;noun;1-0;1
rudeness;noun;1-0;1-0-0
rudesby;noun;1-0;1-0-0
ruffian;noun;1-0;1-0-0
rumbler;noun;1-0-0;1-0
rundle;noun;1-0;1
rupturewort;noun;1-0-0;1-0-0-0
rusticity;noun;0-1-0-0;1-0-0-0
sable;noun;1-0;1
sabre;noun;1-0;1
sackposset;noun;0-1-0;1-0-0
safeconduct;noun;0-1-0;1-0-0-0
safeness;noun;1-0;1-0-0
safety;noun;1-0;1-0-0
sageness;noun;1-0;1-0-0
sagittary;noun;1-0-0-0;0-1-0-0
sailyard;noun;1-0;0-1
salamander;noun;1-0-0-0;0-0-1-0
saleableness;noun;1-0-0-0;1-0-0
salesman;noun;1-0;1-0-0
salework;noun;1-0;1-0-0
salliance;noun;1-0-0;1-0
salmagundi;noun;0-0-1-0;1-0-0-0
salmontrout;noun;0-0-1;1-0-0
salt-pit;noun;1-0;
saltcellar;noun;1-0-0;0-1-0
saltpetre;noun;0-1-0;1-0
sameness;noun;1-0;1-0-0
sample;noun;1-0;1
sampler;noun;1-0-0;1-0
sanativeness;noun;1-0-0-0;1-0-0-0-0
sandbox-tree;noun;1-0-0;
sanguification;noun;0-0-0-1-0;0-1-0-0-0
sanguinity;noun;0-1-0-0;1-0-0-0
sanicle;noun;1-0-0;1-0
sanies;noun;1-0-0;1-0
sapience;noun;1-0-0;1-0
sarcenet;noun;1-0;1-0-0
sarcocele;noun;1-0-0;0-0-1
sardius;noun;1-0-1-0-0;1-0-0
satan;noun;1-1-0;1-0
satellite;noun;1-0-0;0-1-0
satiate;verb;1-0-0;1-0
satire;noun;1-1-1-1-0;1-0
saturn;noun;1-1-0;1-0
satyr;noun;1-1-0;1-0
savageness;noun;1-0-0;1-0-0-0
savanna;noun;0-1-0;1-0-0
saviour;noun;1-0;1-0-0
sausage;noun;1-1-0;1-0
saw-wort;noun;1-0;
saw-wrest;noun;1-0;
scaldhead;noun;0-1;1-0
scarecrow;noun;1-0;1-0-0
scarletoak;noun;0-0-1;1-0-0
sceptre;noun;1-0;1
schedule;noun;1-1-0;0-0
scholiast;noun;1-0-0;1-0
schoolmaster;noun;1-0-0;0-1-0
scion;noun;1-0;0-0
scirrhosity;noun;0-1-0-0;1-1-0-0
scordium;noun;1-0-1-0-0;1-0
scrambler;noun;1-0-0;1-0
scribbler;noun;1-0-0;1-0
scrivener;noun;1-0;1-0-0
scrupler;noun;1-0-0;1-0
scuddle;verb;1-0;1
seaboat;noun;1-0;0-1
seabreach;noun;1-0;0-1
seabreeze;noun;1-0;0-1
seaholly;noun;0-1-0;1-0-0
seacalf;noun;0-1;1-0
seachart;noun;0-1;1-0
seacoal;noun;1-0;0-1
seacoast;noun;0-1;1-0
seacompass;noun;0-1-0;1-0-0
seacow;noun;0-1;1-0
seafight;noun;0-1;1-0
seagull;noun;0-1;1-0
seahorse;noun;0-1;1-0
seamark;noun;1-0;0-1
seamonster;noun;0-1-0;1-0-0
seanymph;noun;0-1;1-0
searover;noun;1-0-0;0-1-0
seashore;noun;0-1;1-0
seaside;noun;0-1;1-0
seasurgeon;noun;1-0-0;0-1-0
seaterm;noun;1-0;0-1
seawater;noun;1-0-0;0-1-0
seasonableness;noun;1-0-0-0-0;1-0-0-0
securement;noun;0-1-0;0-1-0-0
sedateness;noun;0-1-0;0-1-0-0
seducement;noun;0-1-0;0-1-0-0
seedpearl;noun;0-1;1-0
seer;noun;0;1
seignior;noun;1-0;1-0-0
seigniory;noun;1-0-0;1-0-0-0
selenography;noun;0-0-1-0-0;0-1-0-0-0
semicircle;noun;1-0-0-0;0-0-1
semiquaver;noun;1-0-0-0;0-0-1-0
sempstress;noun;1-0;0-0
seniority;noun;0-0-1-0-0;0-1-0-0
senselessness;noun;1-0-0;1-0-0-0
separateness;noun;1-0-0-0;1-0-0-0-0
separator;noun;1-0-0-0;0-0-1-0
sequester;verb;0-1-0;1-0-0
sereneness;noun;0-1-0;0-1-0-0
series;noun;1-0-0;1-0
serpigo;noun;0-1-0-1-0;0-1-0
serviceableness;noun;1-0-0-0-0;1-0-0-0
sevennight;noun;1-0;1-0-0
sewer;noun;0;1-0
shackle;verb;1-0;1
shagreen;noun;0-1;1-0
shalloon;noun;0-1;1-0
shamefacedness;noun;1-0-0;0-1-0-0
shearer;noun;1-0;0-0
sheepfold;noun;1-0;0-1
sheepshearing;noun;1-0-0;0-1-0
sheepwalk;noun;1-0;0-1
shingle;noun;1-0;1
shittlecock;noun;1-0-0;1-0
shoeing-horn;noun;1-0-0;
shoemaker;noun;1-0-0;0-1-0
shopboard;noun;1-0;0-1
shopkeeper;noun;1-0-0;0-1-0
shortribs;noun;0-1;1-0
shrovetuesday;noun;0-1-0;1-0-0
shuffle;verb;1-0;1
shuffler;noun;1-0-0;1-0
shuttle;noun;1-0;1
sickle;noun;1-0;1
sidebox;noun;1-0;1-0-0
sidefly;noun;1-0;1-0-0
sidesman;noun;1-0;1-0-0
silkmercer;noun;1-0-0;0-1-0
silkweaver;noun;1-0-0;0-1-0
simile;noun;1-0-0;1-0
simpler;noun;1-0-0;1-0
skean;noun;0;1-0
skewer;noun;0;1-0
slopeness;noun;1-0;1-0-0
slubberdegullion;noun;0-0-0-1-0;1-0-0-0-0
smuggle;verb;1-0;1
smuggler;noun;1-0-0;1-0
snuggle;verb;1-0;1
soapboiler;noun;1-0-0;0-1-0
sociableness;noun;1-0-0-0-0;1-0-0
socle;noun;1-0;1
solicit;verb;0-1-0;1-0-0
solund-goose;noun;0-0-1;
somewhile;noun;1-0;1-0-0
sonorousness;noun;0-1-0-0;1-0-0-0
sophisticator;noun;0-1-0-0-0;0-0-0-1-0
sordine;noun;0-1;1-0
soreness;noun;1-0;1-0-0
sovereignty;noun;1-0-0-0;1-0-0
souterrain;noun;0-0-1;1-0-0
sowthistle;noun;1-0-0;1-0
spaddle;noun;1-0;1
sparerib;noun;1-0;1-0-0
speckle;verb;1-0;1
spectre;noun;1-0;1
speculator;noun;1-0-0-0;0-0-1-0
spermaceti;noun;0-0-1-0;1-0-0-0
sphericity;noun;0-1-0-0;1-0-0-0
spikenard;noun;1-0;1-0-0
spindletree;noun;1-0-0;1-0
spinet;noun;1-0;0-1
spiracle;noun;1-0-0;1-0
spirtle;verb;1-0;1
spitefulness;noun;1-0-0;1-0-0-0
spittle;noun;1-0;1
spittle;noun;1-0;1
